"","Taxon","site_code","mean.cover.response","local_lifeform","local_lifespan","functional_group","leafN","height","rootN","SLA","root_depth","RTD","SRL","root_diam"
"1","Acaena echinata","jilpanger.au",-4.8,"FORB","PERENNIAL","FORB",22.74341383,0.17865,13.17351071,13.19,0.636713557,0.349698681,161.9729457,0.517565276
"2","Achillea millefolium","elvadrt.ee",4.666666667,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"3","Achillea millefolium","cedartrait.us",0,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"4","Achillea millefolium","allmendo.ch",-0.5,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"5","Achillea millefolium","oreac.us",-0.833333333,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"6","Achillea millefolium","brookdale.ca",0.5,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"7","Achillea millefolium","allmendb.ch",-0.583333333,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"8","Achillea millefolium","hard.us",1,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"9","Achillea millefolium","bayrdrt.de",23,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"10","Achillea millefolium","kernb.ca",1.333333333,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"11","Achillea millefolium","kinsella.ca",10,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"12","Achillea millefolium","matador.ca",0.5,"FORB","PERENNIAL","FORB",19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
"13","Agrostis canina","lygraint.no",0,"GRASS","NULL","GRASS",20.86288625,0.4223,9.3,33.1583154,0.254,0.100489808,198.0882488,0.15
"14","Agrostis capillaris","pineta.es",-9.833333333,"GRASS","PERENNIAL","GRASS",27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429
