"","Taxon","site_code","mean.drt.cover.yr1","mean.drt.cover.yr2","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"178","DALEA PURPUREA","oklah.us",9,9,0,14.1,0.5272,13.9583,13.02080619,1.525,0.174143261,73.40507735,0.341785714,"FORB","PERENNIAL","LEGUME"
"179","DANTHONIA CALIFORNICA","oreaa.us",8.166666667,8.166666667,-3.33e-10,21.1,0.6096,NA,46.56,0.4064,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"180","DAPHNE LAUREOLA","pineta.es",5.5,1.75,-3.75,NA,0.9625,NA,9.236666667,NA,NA,NA,NA,"WOODY","PERENNIAL","WOODY"
"183","DESCHAMPSIA CESPITOSA","paike.ar",1,1,0,19.38145224,0.623466667,9.504294333,15.38069921,1.23,0.170736151,364.9892355,0.206048414,"GRASS","PERENNIAL","GRASS"
"184","DESCHAMPSIA FLEXUOSA","hoide.de",3.666666667,15,11.33333333,21.14852266,0.40801415,6.90123,17.19285365,0.2032,0.386033,196.6766667,0.27,"GRASS","PERENNIAL","GRASS"
"185","DESCHAMPSIA FLEXUOSA","lygraint.no",1,5,4,21.14852266,0.40801415,6.90123,17.19285365,0.2032,0.386033,196.6766667,0.27,"GRASS","PERENNIAL","GRASS"
"186","DESMANTHUS ILLINOENSIS","oklah.us",15,3,-12,38.8,0.9144,NA,9.88,NA,0.3048,45.09036443,0.25,"FORB","PERENNIAL","LEGUME"
"187","DICHANTHELIUM OLIGOSANTHES","oklah.us",11,7,-4,12.8,0.2083,4.73,23.2764706,NA,NA,7.466,0.36,"GRASS","PERENNIAL","GRASS"
"188","DICHANTHELIUM OLIGOSANTHES","bfl.us",32,7,-25,12.8,0.2083,4.73,23.2764706,NA,NA,7.466,0.36,"GRASS","PERENNIAL","GRASS"
"189","DICHANTHELIUM OLIGOSANTHES","konzadrt.us",2.8,2,-0.8,12.8,0.2083,4.73,23.2764706,NA,NA,7.466,0.36,"GRASS","PERENNIAL","GRASS"
"191","DORYCNIUM PENTAPHYLLUM","ayora.es",8,12,4,24.5,0.4,NA,20.8,1.17,0.56,3.83,NA,"SUBSHRUB","PERENNIAL","LEGUME"
"193","ECHIUM VULGARE","allmendb.ch",0.375,0.375,0,23.6,0.716666667,NA,14.45,2.57,NA,NA,0.385,"FORB","PERENNIAL","FORB"
"194","EHRHARTA STIPOIDES","yarradrt.au",61.25,14.29,-46.96,25.541,NA,NA,21.72,NA,0.72,NA,0.043,"GRASS","PERENNIAL","GRASS"
"195","ELYMUS ELYMOIDES","oreaa.us",7.7,3.5,-4.2,13.572,0.4235,10.19,13.868725,0.3048,0.387230769,48.4183,0.62,"GRASS","PERENNIAL","GRASS"
"196","ELYMUS ELYMOIDES","oreac.us",5.833333333,2.875,-2.958333333,13.572,0.4235,10.19,13.868725,0.3048,0.387230769,48.4183,0.62,"GRASS","PERENNIAL","GRASS"
"197","ELYMUS GLAUCUS","cowidrt.ca",6,5,-1,20.02,1.00584,10.4,14.9305,0.3048,0.49,34.8825,NA,"GRASS, forb (SantaCruzHigh)","PERENNIAL","GRASS"
"198","ELYMUS LANCEOLATUS","kinsella.ca",1,1,0,25.371642,NA,NA,22.74526261,1.25,0.30820288,94.78007133,0.221186667,"GRASS","PERENNIAL","GRASS"
"199","ELYMUS REPENS","brookdale.ca",1,1,0,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785,"GRASS","PERENNIAL","GRASS"
"200","ELYMUS REPENS","jenadrt.de",0.5,2.25,1.75,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785,"GRASS","PERENNIAL","GRASS"
"201","ELYMUS SMITHII","biddulph.ca",0.5,0.5,0,28.0185,0.6096,17.06975875,31.74700117,0.508,NA,73.5,NA,"GRAMINOID","PERENNIAL","GRASS"
"202","EMPETRUM NIGRUM","lygraint.no",2,2.5,0.5,11.54888567,0.271133333,6.06,9.729822391,0.2532,0.0857764,NA,NA,"SHRUB","PERENNIAL","WOODY"
"203","EMPETRUM NIGRUM","lygraold.no",4.5,8,3.5,11.54888567,0.271133333,6.06,9.729822391,0.2532,0.0857764,NA,NA,"SHRUB","PERENNIAL","WOODY"
"204","ENNEAPOGON POLYPHYLLUS","credom.au",1,0.5,-0.5,10.55,0.325,3.7,7.035333333,NA,0.44,NA,0.6,"GRASS","PERENNIAL","GRASS"
"205","EPILOBIUM ANGUSTIFOLIUM","baddrt.de",1.05,0.2,-0.85,26.69696541,1.0483,NA,19.77553761,0.627,NA,261.095,NA,"FORB","PERENNIAL","FORB"
"208","EPILOBIUM TETRAGONUM","baddrt.de",0.8,0.1,-0.7,NA,0.720833333,NA,15.9,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"209","Epipactis PALUSTRIS","pineta.es",3,3,0,NA,0.4375,NA,22.62,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"210","EQUISETUM ARVENSE","elvadrt.ee",1.333333333,1,-0.333333333,20.06733732,0.344317143,NA,13.18450744,0.2262,NA,NA,NA,"FORB","PERENNIAL","FORB"
"211","EREMOPHILA GILESII","charleville.au",46.66666667,35,-11.66666667,NA,0.90825,NA,8.200857,NA,NA,NA,NA,"SHRUB","PERENNIAL","WOODY"
"212","ERICA TETRALIX","lygraold.no",10,5.5,-4.5,11.50813841,0.465833333,NA,10.60442241,NA,NA,NA,0.07,"SUBSHRUB","PERENNIAL","WOODY"
"213","ERICA TETRALIX","lygraint.no",5.5,2,-3.5,11.50813841,0.465833333,NA,10.60442241,NA,NA,NA,0.07,"SUBSHRUB","PERENNIAL","WOODY"
"215","ERIGERON STRIGOSUS","oklah.us",1.75,3,1.25,12.3765,0.566,NA,24.97386549,0.254,NA,NA,NA,"FORB","PERENNIAL","FORB"
"217","ERIOPHORUM VAGINATUM","lygraold.no",12,1,-11,18.34176544,0.441666667,7.2,10.24422818,0.4,0.0933333,148.81,0.756666667,"GRAMINOID","PERENNIAL","GRAMINOID"
"221","ESCHSCHOLZIA CALIFORNICA","scruzm.us",4.350330267,10,5.649669733,46.6,0.405253333,NA,27.92808564,0.254,0.015053333,527.2,0.24385,"FORB","PERENNIAL","FORB"
"222","EUPHORBIA CYPARISSIAS","allmendo.ch",1.75,1.25,-0.5,29,0.2375,8.96,23.6,0.89,0.411,6.4,0.699,"FORB","PERENNIAL","FORB"
"223","EUPHORBIA CYPARISSIAS","allmendb.ch",2,2,0,29,0.2375,8.96,23.6,0.89,0.411,6.4,0.699,"FORB","PERENNIAL","FORB"
"224","EUPHORBIA DRUMMONDII","credoj.au",0.5,0.5,0,NA,0.1276,NA,12.13032804,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"225","EUTHAMIA GRAMINIFOLIA","cedarsav.us",4,3,-1,19.4891582,0.798,NA,12.04198841,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"226","EVOLVULUS SERICEUS","bfl.us",1.333333333,1.5,0.166666667,NA,0.165186473,NA,13.12723643,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"228","FALCARIA VULGARIS","jenadrt.de",2.25,4.5,2.25,NA,1.2613,NA,13.0375,1.8,0.147,216.667,1.15043,"FORB","PERENNIAL","FORB"
"229","FESTUCA ARUNDINACEA","marcdrt.ar",71.25,70,-1.25,26.75,0.922297147,9.306666667,16.0977261,1.415,0.208261132,167.503371,0.383552278,"GRASS","PERENNIAL","GRASS"
"230","FESTUCA ARUNDINACEA","sclaudio.ar",78.75,70,-8.75,26.75,0.922297147,9.306666667,16.0977261,1.415,0.208261132,167.503371,0.383552278,"GRASS","PERENNIAL","GRASS"
"231","FESTUCA ARUNDINACEA","chilcasdrt.ar",66.66666667,74,7.33333333,26.75,0.922297147,9.306666667,16.0977261,1.415,0.208261132,167.503371,0.383552278,"GRASS","PERENNIAL","GRASS"
"232","FESTUCA HALLERI","passogavia.it",2,2,0,13,NA,NA,9.9,0.101,NA,NA,0.31,"GRASS","PERENNIAL","GRASS"
"233","FESTUCA IDAHOENSIS","oreac.us",13.75,7,-6.75,10.3118547,0.6096,NA,42.75,0.3556,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"234","FESTUCA IDAHOENSIS","cmss.us",25,18.33333333,-6.666666667,10.3118547,0.6096,NA,42.75,0.3556,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"235","FESTUCA IDAHOENSIS","oreaa.us",9.1,6.3,-2.8,10.3118547,0.6096,NA,42.75,0.3556,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"236","FESTUCA OVINA","allmendb.ch",0.833333333,1.166666667,0.333333334,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,"GRASS","PERENNIAL","GRASS"
"237","FESTUCA OVINA","allmendo.ch",7.083333333,6.666666667,-0.416666666,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,"GRASS","PERENNIAL","GRASS"
"238","FESTUCA PRATENSIS","elvadrt.ee",7.333333333,5.666666667,-1.666666666,22.6929621,0.4,9.037334647,21.47,0.233,0.091553497,289.7039134,0.217565197,"GRASS","PERENNIAL","GRASS"
"239","FESTUCA RUBRA","pineta.es",8,0.5,-7.5,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,"GRASS","PERENNIAL","GRASS"
"240","FESTUCA RUBRA","elvadrt.ee",3,4.333333333,1.333333333,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,"GRASS","PERENNIAL","GRASS"
"241","FESTUCA RUBRA","rhijn.nl",25,16.66666667,-8.333333333,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,"GRASS","PERENNIAL","GRASS"
"242","FESTUCA VIVIPARA","lygraint.no",2,1,-1,NA,0.065,NA,11.02,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"243","FRAGARIA VESCA","elvadrt.ee",12.33333333,10.33333333,-1.999999997,16.48863464,0.136111111,NA,24.4032544,0.267,0.351086957,312.2441806,0.1112,"FORB","PERENNIAL","FORB"
"244","FRAGARIA VESCA","pineta.es",9.25,4.5,-4.75,16.48863464,0.136111111,NA,24.4032544,0.267,0.351086957,312.2441806,0.1112,"FORB","PERENNIAL","FORB"
"245","FRAGARIA VIRIDIS","jenadrt.de",0.5,0.5,0,28.3614838,0.104166667,NA,17.04997,0.32,0.2599583,215,1.136,"FORB","PERENNIAL","FORB"
"246","FUMANA ERICIFOLIA","ayora.es",1.666666667,3,1.333333333,10.02,0.2,NA,4.558011959,0.49,NA,NA,NA,"SUBSHRUB","PERENNIAL","WOODY"
"247","GALACTIA MARGINALIS","bfl.us",7,5,-2,NA,0.177117117,NA,6.500004464,NA,NA,NA,NA,"FORB","PERENNIAL","LEGUME"
"249","GALIUM BOREALE","kernnu.ca",8,6,-2,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779,"FORB","PERENNIAL","FORB"
"250","GALIUM BOREALE","kernb.ca",0.5,2,1.5,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779,"FORB","PERENNIAL","FORB"
"251","GALIUM BOREALE","brookdale.ca",1.333333333,1.05,-0.283333333,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779,"FORB","PERENNIAL","FORB"
"252","GALIUM LUCIDUM","ayora.es",2.5,3,0.5,26,0.375,NA,40.8,0.67,NA,NA,NA,"VINE","PERENNIAL","FORB"
"254","GALIUM SAXATILE","lygraint.no",1,2,1,25.1,0.175,NA,25.08983957,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"255","GALIUM VERUM","allmendo.ch",0.875,0.875,0,21.6094737,0.516038889,11.75956766,17.72121934,0.7266667,0.140178711,402.3842917,0.122981034,"FORB","PERENNIAL","FORB"
"256","GENISTA SCORPIUS","ebro.es",5.560632001,4.166110667,-1.394521334,NA,1.5,NA,9.527159544,0.84,NA,NA,NA,"SHRUB","PERENNIAL","LEGUME"
"261","GEUM CANADENSE","esw.ca",1,1,0,NA,0.77936,NA,20.2434208,0.1016,NA,NA,NA,"FORB","PERENNIAL","FORB"
"262","GLOBULARIA VULGARIS","allmendo.ch",1.333333333,1.75,0.416666667,NA,0.2,NA,6.892,0.47,NA,NA,NA,"FORB","PERENNIAL","FORB"
"263","GLOBULARIA VULGARIS","allmendb.ch",0.375,0.5,0.125,NA,0.2,NA,6.892,0.47,NA,NA,NA,"FORB","PERENNIAL","FORB"
"264","GNAPHALIUM SUPINUM","passogavia.it",0.075,0.05,-0.025,22.46381487,NA,28.1,27.00300375,NA,NA,307.39,0.29,"FORB","PERENNIAL","FORB"
"265","GOUINIA PARAGUAYENSIS","cerrillos.ar",7.5,13.75,6.25,23.1,0.47,NA,19.71,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"266","GREVILLEA AUSTRALIS","falls.au",1,0.5,-0.5,NA,2,NA,4.896896,NA,NA,NA,NA,"SHRUB","PERENNIAL","WOODY"
"267","GYMNADENIA CONOPSEA","pineta.es",0.5,0.5,0,28.85621237,0.45,NA,19.92759166,0.07,NA,NA,NA,"FORB","PERENNIAL","FORB"
"268","GYPSOPHILA REPENS","allmendo.ch",0.5,0.25,-0.25,12.7,0.14,NA,15.67666667,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"269","GYPSOPHILA STRUTHIUM","ciempoz.es",8.034,6.474,-1.56,16.70948548,0.6,NA,4.877171445,NA,NA,NA,NA,"SHRUB","PERENNIAL","WOODY"
"270","GYPSOPHILA STRUTHIUM","ebro.es",2.835730333,5.02656,2.190829667,16.70948548,0.6,NA,4.877171445,NA,NA,NA,NA,"SHRUB","PERENNIAL","WOODY"
"271","HELIANTHEMUM CINEREUM","ayora.es",3,5,2,13.24715,0.053,NA,6.31,NA,NA,NA,NA,"SUBSHRUB","PERENNIAL","WOODY"
"272","HELIANTHEMUM MARIFOLIUM","ebro.es",1.185808556,0.788599778,-0.397208778,NA,0.3,NA,7.659559676,0.28,NA,NA,NA,"SHRUB","PERENNIAL","WOODY"
"273","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM","allmendo.ch",5.416666667,5.833333333,0.416666666,17.1,NA,6.27,14.70769,1.63,0.1910333,180,1.555,"SHRUB","PERENNIAL","WOODY"
"274","HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM","allmendb.ch",10.83333333,7.916666667,-2.916666663,17.1,NA,6.27,14.70769,1.63,0.1910333,180,1.555,"SHRUB","PERENNIAL","WOODY"
"275","HELIANTHEMUM SQUAMATUM","ebro.es",0.371756,0.36652,-0.005236,13.91070827,0.2,NA,5.358237548,0.65,NA,NA,NA,"SUBSHRUB","PERENNIAL","WOODY"
"276","HELIANTHEMUM SQUAMATUM","ciempoz.es",1.514166667,1.31,-0.204166667,13.91070827,0.2,NA,5.358237548,0.65,NA,NA,NA,"SUBSHRUB","PERENNIAL","WOODY"
"278","HELICTOTRICHON PRATENSE","allmendo.ch",3.75,3.583333333,-0.166666667,16.4,0.816666667,NA,14.06030769,0.79,0.669747899,85.98480816,0.1543,"GRASS","PERENNIAL","GRASS"
"279","HELICTOTRICHON PRATENSE","allmendb.ch",4.25,4.416666667,0.166666667,16.4,0.816666667,NA,14.06030769,0.79,0.669747899,85.98480816,0.1543,"GRASS","PERENNIAL","GRASS"
"280","HELICTOTRICHON PUBESCENS","elvadrt.ee",1.5,1,-0.5,24.3,0.680625,7.892636683,18.69463141,0.3,0.090296815,62.86954053,0.161264502,"GRASS","PERENNIAL","GRASS"
"281","HELICTOTRICHON VERSICOLOR","passogavia.it",2.5,3,0.5,18.88884001,0.14,6.081157261,11.48996431,NA,NA,77.65999999,NA,"GRASS","PERENNIAL","GRASS"
"282","HELIOPSIS HELIANTHOIDES","brookdale.ca",2,1,-1,NA,1.2745,NA,19.34129566,NA,0.155412644,61.30678286,0.38123125,"FORB","PERENNIAL","FORB"
"283","HEPATICA NOBILIS","pineta.es",3,1.75,-1.25,24,NA,NA,27.165,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"284","HESPEROSTIPA COMATA","mattheis.ca",21,16.6,-4.4,12.21666667,0.224,6.55,5.904809091,1.353302,0.3762,35.19975,0.38,"GRASS","PERENNIAL","GRASS"
"285","HETEROPOGON CONTORTUS","bfl.us",8.5,21,12.5,11.22375,0.21336,4.15,9.881422925,0.254,0.371,16.75282186,0.25,"GRASS","PERENNIAL","GRASS"
"286","HILARIA JAMESII","antelope.us",1.975,0.633333333,-1.341666667,21.68723958,0.6096,7.6,13.95707872,0.3048,NA,140.9228,0.056,"GRAMINOID","PERENNIAL","GRASS"
"287","HIPPOCREPIS COMOSA","allmendo.ch",2.833333333,2.583333333,-0.25,29,0.231666667,NA,15.26545455,1.003333,NA,NA,NA,"FORB","PERENNIAL","LEGUME"
"288","HIPPOCREPIS COMOSA","allmendb.ch",10.41666667,10,-0.41666667,29,0.231666667,NA,15.26545455,1.003333,NA,NA,NA,"FORB","PERENNIAL","LEGUME"
"289","HOLCUS LANATUS","rhijn.nl",6.666666667,13.33333333,6.666666666,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,"GRASS","PERENNIAL","GRASS"
"290","HOLCUS LANATUS","scruzh.us",14.5281933,2,-12.5281933,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,"GRASS","PERENNIAL","GRASS"
"293","HYDROCOTYLE BONARIENSIS","marcdrt.ar",2.333333333,2.75,0.416666667,NA,NA,NA,27.35005333,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"294","HYPOCHAERIS RADICATA","falls.au",0.833333333,0.833333333,3.33e-10,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB"
"295","HYPOCHAERIS RADICATA","spvdrt.ar",3,2.666666667,-0.333333333,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB"
"296","HYPOCHAERIS RADICATA","baddrt.de",1,1,0,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB"
"297","JUNIPERUS PHOENICEA","ebro.es",0.623084,0.456404667,-0.166679334,8.407,NA,NA,5.437737901,2.5,0.625121324,8.033595128,0.5192,"SHRUB","PERENNIAL","WOODY"
"298","KNAUTIA ARVENSIS","allmendb.ch",1.5,1.5,0,24.60384722,0.559111111,10.58839097,18.38055602,0.155,0.2315,150.6768113,0.417,"FORB","PERENNIAL","FORB"
"299","KOELERIA MACRANTHA","mattheis.ca",10,8.4,-1.6,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"300","KOELERIA MACRANTHA","biddulph.ca",1,3,2,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"301","KOELERIA MACRANTHA","hard.us",5.5,14,8.5,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"302","KOELERIA MACRANTHA","matador.ca",2.5,1,-1.5,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"303","KOELERIA MACRANTHA","konzadrt.us",8.6,4.2,-4.4,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"304","KOELERIA MICRATHERA","cedartrait.us",4,1.5,-2.5,NA,NA,NA,14.02,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"305","KRASCHENINNIKOVIA LANATA","matador.ca",21,14.5,-6.5,26.25,0.4572,NA,11.20220464,0.3048,NA,124.72,0.7078,"FORB","PERENNIAL","WOODY"
"307","LACTUCA TATARICA","kernb.ca",1.25,2,0.75,22.6,0.625,NA,18.07666667,2.4,0.213227444,77.19169246,NA,"FORB","PERENNIAL","FORB"
"308","LARREA DIVARICATA","cerrillos.ar",19.50333333,37.19,17.68666667,22.9,1.67,NA,5.881206897,NA,NA,NA,NA,"SHRUB","PERENNIAL","WOODY"
"309","LATHYRUS PRATENSIS","elvadrt.ee",5,3,-2,39.68831026,0.475733333,25.11541,24.99129113,1.18,0.141833333,63.29727228,0.4965,"LEGUME","PERENNIAL","LEGUME"
"310","LATHYRUS VENOSUS","cedarsav.us",4.5,2.333333333,-2.166666667,30.13845455,0.3533,NA,18.46365493,NA,0.194444444,46.82957143,0.3725,"LEGUME","PERENNIAL","LEGUME"
"311","LEERSIA HEXANDRA","chilcasdrt.ar",0.625,0.625,0,17.321052,1.5,NA,26,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"312","LEONTODON HISPIDUS","elvadrt.ee",4,2,-2,23.92644618,0.371,11.53789754,27.0408515,0.3,0.134462153,204.9072943,0.273284146,"FORB","PERENNIAL","FORB"
"313","LEPIDIUM SUBULATUM","ciempoz.es",12.93785714,12.90428571,-0.033571426,19.94806715,0.3,NA,6.508870465,0.74,NA,NA,NA,"SUBSHRUB","PERENNIAL","WOODY"
"314","LESPEDEZA CAPITATA","cedartrait.us",2.75,2.25,-0.5,19.09948702,0.842,31.172408,12.45020289,0.4572,0.228401178,79.00332954,0.333275,"FORB","PERENNIAL","LEGUME"
"315","LEUCANTHEMOPSIS ALPINA","passogavia.it",0.46,0.47,0.01,26,0.035,NA,15.775,0.126,NA,NA,0.83,"FORB","PERENNIAL","FORB"
"316","LEUCANTHEMUM VULGARE","allmendb.ch",1.5,1.5,0,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,"FORB","PERENNIAL","FORB"
"317","LEUCANTHEMUM VULGARE","rhijn.nl",1,3,2,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,"FORB","PERENNIAL","FORB"
"318","LIATRIS ASPERA","cedartrait.us",11.8,6.25,-5.55,12.33641253,0.68,20.498833,17.00092904,NA,0.135313282,193.6403191,0.335858333,"FORB","PERENNIAL","FORB"
"319","LIATRIS PUNCTATA","bfl.us",11.5,11,-0.5,16.817,0.6096,NA,9.8333502,0.3556,0.16753096,118.8077502,0.3044,"FORB","PERENNIAL","FORB"
"320","LIATRIS PUNCTATA","biddulph.ca",1,1,0,16.817,0.6096,NA,9.8333502,0.3556,0.16753096,118.8077502,0.3044,"FORB","PERENNIAL","FORB"
"321","LIATRIS SQUARROSA","oklah.us",1.75,3,1.25,22.06384,0.4548,NA,16.33650548,0.67,NA,NA,NA,"FORB","PERENNIAL","FORB"
"322","LIGUSTICUM MUTELLINA","passogavia.it",46,45,-1,21.8,0.28,NA,24.9616,0.68,NA,NA,NA,"FORB","PERENNIAL","FORB"
"327","LINUM SUFFRUTICOSUM","ebro.es",2.0322225,1.445426889,-0.586795611,19.9,0.4,NA,13.83721065,NA,NA,NA,NA,"SUBSHRUB","PERENNIAL","WOODY"
"329","LITHOSPERMUM INCISUM","mattheis.ca",10,11,1,26.9,0.2176,NA,12.77,3.03,NA,NA,NA,"FORB","PERENNIAL","FORB"
"330","LOLIUM PERENNE","jenadrt.de",47.33333333,39.66666667,-7.666666663,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","PERENNIAL","GRASS"
"331","LOLIUM PERENNE","validate.fr",7.02,10,2.98,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","PERENNIAL","GRASS"
"332","LOLIUM PERENNE","baddrt.de",0.05,0.4,0.35,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","PERENNIAL","GRASS"
"333","LOTUS CORNICULATUS","allmendo.ch",0.375,0.25,-0.125,32.37274407,0.357339206,21.21401,21.71513633,0.3556,0.12871093,104.3277979,0.351194598,"FORB","PERENNIAL","LEGUME"
"334","LOTUS CORNICULATUS","allmendb.ch",1.333333333,1.5,0.166666667,32.37274407,0.357339206,21.21401,21.71513633,0.3556,0.12871093,104.3277979,0.351194598,"FORB","PERENNIAL","LEGUME"
"335","LOTUS GLABER","chilcasdrt.ar",3,0.25,-2.75,NA,0.75,NA,25.91,NA,NA,NA,0.71,"LEGUME","PERENNIAL","LEGUME"
"336","LUZULA MULTIFLORA","elvadrt.ee",3,1.333333333,-1.666666667,25.54618746,0.2110425,5.237476541,25.53913437,NA,NA,132.06,NA,"GRASS","PERENNIAL","GRAMINOID"
"337","LYSIMACHIA EUROPAEA","lygraint.no",1,1,0,32.8,0.09,NA,51,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"338","MAIREANA SEDIFOLIA","credom.au",1,2,1,39.14135,1.3,NA,4.952222222,NA,NA,NA,NA,"SHRUB","PERENNIAL","WOODY"
"339","MAIREANA SEDIFOLIA","credoj.au",3.4,2.8,-0.6,39.14135,1.3,NA,4.952222222,NA,NA,NA,NA,"SHRUB","PERENNIAL","WOODY"
"343","MICROSERIS LANCEOLATA","falls.au",1,0.5,-0.5,NA,0.4,NA,11.380814,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"344","MOLINIA CAERULEA","lygraold.no",1.5,7.333333333,5.833333333,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,"GRASS","PERENNIAL","GRASS"
"345","MOLINIA CAERULEA","lygraint.no",6,1,-5,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,"GRASS","PERENNIAL","GRASS"
"346","MONARDA FISTULOSA","cedartrait.us",8,2,-6,11.29051118,0.662,17.87547,26.21085308,0.1016,0.165191358,93.37285277,0.28925,"FORB","PERENNIAL","FORB"
"348","NARTHECIUM OSSIFRAGUM","lygraold.no",3,2,-1,24.7,0.2325,NA,24.15,0.22,NA,NA,NA,"FORB","PERENNIAL","FORB"
"349","NASSELLA NEESIANA","naposta.ar",36.66666667,8.333333333,-28.33333334,14.2304221,0.8,NA,16,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"350","NASSELLA TRICHOTOMA","naposta.ar",25,5.333333333,-19.66666667,NA,0.7,NA,11.297312,NA,NA,NA,0.77666667,"GRASS","PERENNIAL","GRASS"
"351","NASSELLA VIRIDULA","matador.ca",18.66666667,15.33333333,-3.333333337,12.6088734,0.6096,NA,10.77,0.3556,0.517363388,54.89286067,0.23675,"GRAMINOID","PERENNIAL","GRASS"
"352","NEOTTIA OVATA","pineta.es",1.75,1.333333333,-0.416666667,NA,0.32,NA,30.18571429,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"353","NOTICASTRUM SERICEUM","spvdrt.ar",4,3.5,-0.5,30.175,NA,NA,36.99,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"354","OREOCHLOA DISTICHA","passogavia.it",0.275,0.7,0.425,22,0.115,NA,9.2,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"355","OXALIS CONORRHIZA","naposta.ar",1,1,0,NA,0.1176,NA,42.67,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"356","OXALIS DILLENII","slp.us",2.5,2,-0.5,NA,0.188478161,NA,41.82566697,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"358","PASCOPYRUM SMITHII","kinsella.ca",21,21,0,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"GRAMINOID","PERENNIAL","GRASS"
